Week,Team,Wins,Losses,AP Rank,AP Points
2,Duke Blue Devils,2,0,1,1606
2,Kansas Jayhawks,1,0,2,1571
2,Gonzaga Bulldogs,2,0,3,1478
2,Virginia Cavaliers,2,0,4,1326
2,Tennessee Volunteers,2,0,5,1306
2,Nevada Wolf Pack,2,0,6,1277
2,North Carolina Tar Heels,2,0,7,1260
2,Villanova Wildcats,2,0,8,1139
2,Auburn Tigers,2,0,9,1132
2,Kentucky Wildcats,1,1,10,1054
2,Michigan State Spartans,1,1,11,919
2,Kansas State Wildcats,1,0,12,892
2,Oregon Ducks,2,0,13,739
2,Florida State Seminoles,2,0,14,731
2,Syracuse Orange,2,0,15,673
2,Virginia Tech Hokies,1,0,16,664
2,Mississippi State Bulldogs,2,0,17,549
2,Michigan Wolverines,2,0,18,486
2,Clemson Tigers,2,0,19,350
2,UCLA Bruins,2,0,20,340
2,TCU Horned Frogs,2,0,21,323
2,LSU Tigers,2,0,22,248
2,Purdue Boilermakers,2,0,23,218
2,Marquette Golden Eagles,2,0,24,155
2,Buffalo Bulls,2,0,25,154
3,Duke Blue Devils,3,0,1,1564
3,Kansas Jayhawks,3,0,2,1510
3,Gonzaga Bulldogs,3,0,3,1437
3,Virginia Cavaliers,3,0,4,1299
3,Tennessee Volunteers,3,0,5,1281
3,Nevada Wolf Pack,3,0,6,1253
3,North Carolina Tar Heels,4,0,7,1246
3,Auburn Tigers,3,0,8,1123
3,Michigan Wolverines,5,0,9,1021
3,Kentucky Wildcats,3,1,10,980
3,Michigan State Spartans,3,1,11,937
3,Kansas State Wildcats,4,0,12,889
3,Virginia Tech Hokies,4,0,13,849
3,Florida State Seminoles,2,0,14,794
3,Mississippi State Bulldogs,3,0,15,619
3,Clemson Tigers,3,0,16,462
3,UCLA Bruins,3,0,17,430
3,TCU Horned Frogs,3,0,18,388
3,LSU Tigers,4,0,19,358
3,Iowa Hawkeyes,4,0,20,354
3,Oregon Ducks,3,1,21,325
3,Buffalo Bulls,3,0,22,240
3,Ohio State Buckeyes,4,0,23,222
3,Purdue Boilermakers,4,1,24,199
3,Wisconsin Badgers,3,0,25,150
4,Gonzaga Bulldogs,6,0,1,1590
4,Kansas Jayhawks,5,0,2,1584
4,Duke Blue Devils,5,1,3,1486
4,Virginia Cavaliers,6,0,4,1396
4,Nevada Wolf Pack,6,0,5,1329
4,Tennessee Volunteers,4,1,6,1284
4,Michigan Wolverines,6,0,7,1213
4,Auburn Tigers,5,1,8,1129
4,Michigan State Spartans,5,1,9,1111
4,Kentucky Wildcats,5,1,10,1022
